,Ad_ID,Ad_Link,datetime
0,7006251,/nepremicnine/prodaja-stanovanje-trisobno-podravska-ruse-bezena-oglas-7006251,02.05.2021_11:29:06
1,7006250,/nepremicnine/prodaja-stanovanje-trisobno-podravska-ruse-bezena-oglas-7006250,02.05.2021_11:29:06
2,6677209,/nepremicnine/lokacija-stanovanja-zagorje-ob-savi-42.82-m2-oglas-6677209,02.05.2021_11:29:06
3,7006122,/nepremicnine/stanovanje-v-dvojcku-vrstna-hisa-ozare-slovenj-gradec-115.00-m2-oglas-7006122,02.05.2021_11:29:06
4,7005502,/nepremicnine/lokacija-stanovanja-limbus-70.00-m2-oglas-7005502,02.05.2021_11:29:06
5,3971372,/nepremicnine/lokacija-stanovanja-mala-kostrevnica-oglas-3971372,02.05.2021_11:29:06
6,7001010,/nepremicnine/prodaja-stanovanje-stirisobno-juzna-primorska-koper-capodistria-gazo-oglas-7001010,02.05.2021_11:29:06
7,6191963,/nepremicnine/lokacija-stanovanja-ljutomer-125.00-m2-oglas-6191963,02.05.2021_11:29:06
8,6191828,/nepremicnine/lokacija-stanovanja-ljutomer-158.00-m2-oglas-6191828,02.05.2021_11:29:06
9,3838389,/nepremicnine/lokacija-stanovanja-center-41.00-m2-oglas-3838389,02.05.2021_11:29:06
10,4842815,/nepremicnine/lokacija-stanovanja-moravske-toplice-74.00-m2-zunanje-50m2-oglas-4842815,02.05.2021_11:29:06
11,7000409,/nepremicnine/lokacija-stanovanja-slovenj-gradec-ronkova-ulica-16-oglas-7000409,02.05.2021_11:29:06
12,4440382,/nepremicnine/prijetno-dvosobno-stanovanje-odlicni-lokaciji-pri-stolni-cerkvi-oglas-4440382,02.05.2021_11:29:06
13,3857126,/nepremicnine/lokacija-stanovanja-borova-vas-65.00-m2-oglas-3857126,02.05.2021_11:29:06
14,6999326,/nepremicnine/lokacija-stanovanja-loce-39.00-m2-oglas-6999326,02.05.2021_11:29:06
15,6999266,/nepremicnine/lokacija-stanovanja-hrvaska-72.00-m2-oglas-6999266,02.05.2021_11:29:06
16,6998551,/nepremicnine/lokacija-stanovanja-spodnja-siska-aljazeva-ulica-oglas-6998551,02.05.2021_11:29:06
17,6998523,/nepremicnine/lokacija-stanovanja-center-45.00-m2-oglas-6998523,02.05.2021_11:29:06
18,6837254,/nepremicnine/lokacija-stanovanja-jesenje-100.00-m2-oglas-6837254,02.05.2021_11:29:06
19,6998221,/nepremicnine/lokacija-stanovanja-borstnikova-ul-50.00-m2-oglas-6998221,02.05.2021_11:29:06
20,6997961,/nepremicnine/prodamo-obnovljeno-in-opremljeno-2-sobno-stanovanje-teznu-oglas-6997961,02.05.2021_11:29:06
21,6838041,/nepremicnine/lokacija-stanovanja-kosaki-98.00-m2-oglas-6838041,02.05.2021_11:29:06
22,6837860,/nepremicnine/lokacija-stanovanja-kosaki-103.00-m2-oglas-6837860,02.05.2021_11:29:06
23,6837502,/nepremicnine/lokacija-stanovanja-kosaki-124.00-m2-oglas-6837502,02.05.2021_11:29:06
24,3576924,/nepremicnine/maribor-studenci-104.00-m2-4-sobno-dva-balkona-novogradnja-oglas-3576924,02.05.2021_11:29:06
25,6837730,/nepremicnine/lokacija-stanovanja-kosaki-113.00-m2-oglas-6837730,02.05.2021_11:29:06
26,6668069,/nepremicnine/lokacija-stanovanja-kosaki-98.00-m2-oglas-6668069,02.05.2021_11:29:06
27,6667945,/nepremicnine/lokacija-stanovanja-kosaki-95.00-m2-oglas-6667945,02.05.2021_11:29:06
28,6667913,/nepremicnine/maribor-kosaki-novogradnja-3-sobno-z-balkonom-oglas-6667913,02.05.2021_11:29:06
29,6617291,/nepremicnine/maribor-studenci-tabor-novogradnja-3-sobno-teraso-oglas-6617291,02.05.2021_11:29:06
30,6616201,/nepremicnine/lokacija-stanovanja-kosaki-128.00-m2-oglas-6616201,02.05.2021_11:29:06
31,6608652,/nepremicnine/maribor-kosaki-novogradnja-4-sobno-penthouse-stanovanje-oglas-6608652,02.05.2021_11:29:06
32,3577634,/nepremicnine/maribor-studenci-106.00-m2-4-sobno-novogradnja-oglas-3577634,02.05.2021_11:29:06
33,3561472,/nepremicnine/maribor-studenci-104.00-m2-novogradnja-2-sobno-z-atrijem-oglas-3561472,02.05.2021_11:29:06
34,3161746,/nepremicnine/lokacija-stanovanja-studenci-189.00-m2-novogradnja-oglas-3161746,02.05.2021_11:29:06
35,6716895,/nepremicnine/lokacija-stanovanja-trzaska-86-oglas-6716895,02.05.2021_11:29:06
36,6995793,/nepremicnine/opatija-novogradnja-1s-db-oglas-6995793,02.05.2021_11:29:06
37,6995777,/nepremicnine/atraktivna-novogradnja-1-red-mora-oglas-6995777,02.05.2021_11:29:06
38,6995775,/nepremicnine/moderno-opremljen-stan-najljepsoj-zoni-rovinju-oglas-6995775,02.05.2021_11:29:06
39,6995774,/nepremicnine/prekrasan-trosoban-moderno-opremljen-stan-rovinju-oglas-6995774,02.05.2021_11:29:06
40,6995773,/nepremicnine/moderan-trosobni-stan-blizu-mora-oglas-6995773,02.05.2021_11:29:06
41,6995772,/nepremicnine/trosoban-moderno-opremljen-stan-rovinju-oglas-6995772,02.05.2021_11:29:06
42,6995730,/nepremicnine/ljubljana-bezigrad-stanovanje-2-sobno-prodaja-oglas-6995730,02.05.2021_11:29:06
43,6995705,/nepremicnine/prodaja-stanovanje-enosobno-podravska-ptuj-ptuj-oglas-6995705,02.05.2021_11:29:06
44,1457660,/nepremicnine/stanovanje-pomurska-ljutomer-stara-cesta-5-sobno-90.00-m2-pr-oglas-1457660,02.05.2021_11:29:06
45,6994854,/nepremicnine/lokacija-stanovanja-ratanska-vas-52.00-m2-oglas-6994854,02.05.2021_11:29:06
46,1451212,/nepremicnine/stanovanje-tujina-hrvaska-umag-300-m-morja-1-sobno-27-m2-p-oglas-1451212,02.05.2021_11:29:06
47,1448146,/nepremicnine/stanovanje-tujina-hrvaska-umag-300-m-morja-1-sobno-30.00-m2-oglas-1448146,02.05.2021_11:29:06
48,6994330,/nepremicnine/menjamo-enosobno-stanovanje-dvosobno-v-mb-pobrezje-oglas-6994330,02.05.2021_11:29:06
49,6994069,/nepremicnine/lokacija-stanovanja-novigrad-2-km-41.00-m2-oglas-6994069,02.05.2021_11:29:06
50,4934520,/nepremicnine/lokacija-stanovanja-center-78.00-m2-oglas-4934520,02.05.2021_11:29:07
51,6993677,/nepremicnine/lokacija-stanovanja-buje-1-nadstr-60.00-m2-oglas-6993677,02.05.2021_11:29:07
52,6993663,/nepremicnine/lokacija-stanovanja-mb-tabor-betnavska-65.92-m2-oglas-6993663,02.05.2021_11:29:07
53,6993457,/nepremicnine/2-sobno-stanovanje-tabor-blizina-trznice-oglas-6993457,02.05.2021_11:29:07
54,6993085,/nepremicnine/lokacija-stanovanja-slovenska-bistrica-27.00-m2-oglas-6993085,02.05.2021_11:29:07
55,6992916,/nepremicnine/lokacija-stanovanja-domzale-21.00-m2-oglas-6992916,02.05.2021_11:29:07
56,6315147,/nepremicnine/lokacija-stanovanja-miklavz-dravskem-polju-94.00-m2-oglas-6315147,02.05.2021_11:29:07
57,6992183,/nepremicnine/lokacija-stanovanja-ptuj-100.00-m2-oglas-6992183,02.05.2021_11:29:07
58,6648004,/nepremicnine/lokacija-stanovanja-trzin-23.00-m2-oglas-6648004,02.05.2021_11:29:07
59,6424695,/nepremicnine/lokacija-stanovanja-pajkova-ulica-24-53.20-m2-oglas-6424695,02.05.2021_11:29:07
60,6990323,/nepremicnine/dvoetazni-stan-mirnoj-lokaciji-oglas-6990323,02.05.2021_11:29:07
61,6990322,/nepremicnine/atraktivna-novogradnja-1-red-mora-oglas-6990322,02.05.2021_11:29:07
62,6990124,/nepremicnine/soncno-stanovanje-nalozbo-v-centru-maribora-oglas-6990124,02.05.2021_11:29:07
63,6990038,/nepremicnine/2-sobno-stanovanje-zupanciceva-jama-oglas-6990038,02.05.2021_11:29:07
64,6990036,/nepremicnine/prodaja-stanovanje-stirisobno-savinjska-celje-celje-oglas-6990036,02.05.2021_11:29:07
65,6990034,/nepremicnine/koper-dupleks-stanovanje-komfortno-3-sobno-oglas-6990034,02.05.2021_11:29:07
66,1446157,/nepremicnine/stanovanje-podravska-sentilj-v-slovenskih-goricah-sladki-vrh-4-oglas-1446157,02.05.2021_11:29:07
67,1451841,/nepremicnine/stanovanje-podravska-maribor-center-ulica-heroja-slandra-2-sob-oglas-1451841,02.05.2021_11:29:07
68,6325791,/nepremicnine/lokacija-stanovanja-center-105.10-m2-oglas-6325791,02.05.2021_11:29:07
69,6989429,/nepremicnine/lokacija-stanovanja-jarse-58.00-m2-oglas-6989429,02.05.2021_11:29:07
70,6988705,/nepremicnine/prodaja-2-sobno-ljubljana-moste-2-sobno-odlicna-lokacija-oglas-6988705,02.05.2021_11:29:07
71,6988188,/nepremicnine/lokacija-stanovanja-center-67.00-m2-oglas-6988188,02.05.2021_11:29:07
72,6988178,/nepremicnine/lokacija-stanovanja-jarse-40.00-m2-oglas-6988178,02.05.2021_11:29:07
73,3971642,/nepremicnine/krk-cizici-46.00-m2-novogradnja-oglas-3971642,02.05.2021_11:29:07
74,4536935,/nepremicnine/maribor-rotovski-trg-1-nadstr-2.5sobno-stanovanje-67m2-oglas-4536935,02.05.2021_11:29:07
75,4536846,/nepremicnine/maribor-rotovski-trg-1-nadstr-2.5sobno-stanovanje-64m2-oglas-4536846,02.05.2021_11:29:08
76,1457293,/nepremicnine/5sobno-stanovanje-tloris-st-1-134m2-v-lepi-stari-mescanski-hisi-oglas-1457293,02.05.2021_11:29:08
77,6987866,/nepremicnine/fu-oglas-6987866,02.05.2021_11:29:08
78,6987377,/nepremicnine/stanovanje-49-m2-v-blizni-morja-ima-dvigalo-oglas-6987377,02.05.2021_11:29:08
79,6986985,/nepremicnine/ljubljana-vic-2-sobno-stanovanje-z-balkonom-oglas-6986985,02.05.2021_11:29:08
80,6986982,/nepremicnine/lokacija-stanovanja-koseze-35.00-m2-oglas-6986982,02.05.2021_11:29:08
81,6986938,/nepremicnine/lokacija-stanovanja-tabor-54.00-m2-oglas-6986938,02.05.2021_11:29:08
82,6986739,/nepremicnine/lokacija-stanovanja-center-153.00-m2-oglas-6986739,02.05.2021_11:29:08
83,6984139,/nepremicnine/jadranovo-apartman-oglas-6984139,02.05.2021_11:29:08
84,6984136,/nepremicnine/crikvenica-stan-parkingom-duga-oglas-6984136,02.05.2021_11:29:08
85,6984122,/nepremicnine/prodaja-stana-centar-28.15-m-1s-prizemlje-oglas-6984122,02.05.2021_11:29:08
86,6984109,/nepremicnine/koper-stanovanje-2-sobno-prodaja-oglas-6984109,02.05.2021_11:29:08
87,5038070,/nepremicnine/lokacija-stanovanja-domzale-strogi-center-oglas-5038070,02.05.2021_11:29:08
88,6983353,/nepremicnine/lokacija-stanovanja-zrece-24.50-m2-oglas-6983353,02.05.2021_11:29:08
89,6982887,/nepremicnine/lokacija-stanovanja-koroska-vrata-73.00-m2-oglas-6982887,02.05.2021_11:29:08
90,6982831,/nepremicnine/lokacija-stanovanja-tabor-48.00-m2-oglas-6982831,02.05.2021_11:29:08
91,1471659,/nepremicnine/stanovanje-podravska-maribor-center-4.5-sobno-158.00-m2-prodam-oglas-1471659,02.05.2021_11:29:08
92,6980400,/nepremicnine/urejena-in-ugodna-garsonjera-radovljica-20.00-m2-prodamo-oglas-6980400,02.05.2021_11:29:08
93,5351927,/nepremicnine/lokacija-stanovanja-stanovanje-oplotnica-oglas-5351927,02.05.2021_11:29:08
94,6977965,/nepremicnine/lokacija-stanovanja-sentjur-57.00-m2-oglas-6977965,02.05.2021_11:29:08
95,6975830,/nepremicnine/stan-opatiji-odlicnoj-lokaciji-oglas-6975830,02.05.2021_11:29:08
96,6975819,/nepremicnine/projekt-liznjanu-stan-prizemlje-oglas-6975819,02.05.2021_11:29:08
97,6975818,/nepremicnine/vrhunski-stan-pogledom-more-oglas-6975818,02.05.2021_11:29:08
98,6975817,/nepremicnine/stan-vrtom-115-m-prvi-red-mora-oglas-6975817,02.05.2021_11:29:08
99,6975795,/nepremicnine/luksuzna-novogradnja-2s-db-stan-novalji-blizu-plaze-oglas-6975795,02.05.2021_11:29:08
100,6975794,/nepremicnine/novalja-stan-3s-db-blizu-mora-plaze-oglas-6975794,02.05.2021_11:29:09
101,6975793,/nepremicnine/novalja-luksuzni-2s-db-stan-blizu-plaze-oglas-6975793,02.05.2021_11:29:09
102,6975792,/nepremicnine/zamet-2s-db-oglas-6975792,02.05.2021_11:29:09
103,6975791,/nepremicnine/tihi-centar-stan-dva-balkona-uredeno-oglas-6975791,02.05.2021_11:29:09
104,6975789,/nepremicnine/strogi-centar-opatije-oglas-6975789,02.05.2021_11:29:09
105,6975695,/nepremicnine/prodamo-4-sobno-stanovanje-v-starem-mestne-jedru-oglas-6975695,02.05.2021_11:29:09
106,6975693,/nepremicnine/delno-obnovljeno-2-sobno-stanovanje-taboru-oglas-6975693,02.05.2021_11:29:09
107,6975432,/nepremicnine/lokacija-stanovanja-vas-skapinova-ulica-oglas-6975432,02.05.2021_11:29:09
