,Šifra oglasa,Objavljen ,Do poteka še,Število prikazov oglasa,Cena,Vrsta cene,Posredovanje,Lokacija,Umeščenost stanovanja,Nadstropje,Skupno število nadstropij v stavbi,Vrsta stanovanja,Bivalna površina,Neto površina,Leto izgradnje*,Opremljenost in stanje,Število parkirnih mest,Leto zadnje prenove,Energetski razred,Interna številka oglasa,Balkon / terasa / atrij,Zunanje površine in oprema,Možnost menjave
0,5784474,29.03.2021dne10:52,"
29dni,21h,38min.
",1004-krat,"

149.900 €
",Skupna cena,Prodam,"Podravska, Maribor, Center",V večstanovanjski stavbi,Visoko pritličje,4,4-sobno,"125,40 m²","140,50 m²",1906,Popolnoma opremljeno,brez pripadajočega parkirišča,,,,,,
1,6654426,29.03.2021dne10:18,"
doprodaje",39-krat,"

58.900 €
",Skupna cena,Prodam,"Podravska, Ruše, Ruše",V večstanovanjski stavbi,4.,4,"1,5-sobno","44,70 m²","47,60 m²",1977,Popolnoma opremljeno,,2017,EI v izdelavi,GALEA 2021/426,,,
2,6624845,29.03.2021dne10:08,"
doprodaje",626-krat,"

112.900 €
",Skupna cena,Prodam,"Podravska, Maribor, Košaki",,2.,4,"2,5-sobno","62,80 m²",,2021,,,,B1 (15 - 25 kWh/m2a),C.14,Balkon,,
3,6624148,29.03.2021dne10:08,"
doprodaje",365-krat,"

114.700 €
",Skupna cena,Prodam,"Podravska, Maribor, Košaki",,1.,3,3-sobno,"68,70 m²",,2021,,,,,B.10,Balkon,,
4,6617291,29.03.2021dne10:08,"
doprodaje",465-krat,"

129.700 €
",Skupna cena,Prodam,"Podravska, Maribor, Košaki",,1.,3,,"96,10 m²",,2021,,,,B1 (15 - 25 kWh/m2a),A.4,Terasa,,
5,6616383,29.03.2021dne10:08,"
doprodaje",336-krat,"

129.900 €
",Skupna cena,Prodam,"Podravska, Maribor, Košaki",,2.,3,3-sobno,"77,90 m²",,2021,,,,,A.10,Balkon,,
6,6616201,29.03.2021dne10:08,"
doprodaje",64-krat,"

239.400 €
",Skupna cena,Prodam,"Podravska, Maribor, Košaki",,4.,4,3-sobno,"128,00 m²",,2021,,,,B1 (15 - 25 kWh/m2a),C.23,,,
7,6608652,29.03.2021dne10:08,"
doprodaje",133-krat,"

319.800 €
",Skupna cena,Prodam,"Podravska, Maribor, Košaki",,4.,4,4-sobno,"169,30 m²",,2021,,,,,C.22,Terasa,,
8,3577634,29.03.2021dne10:08,"
doprodaje",11695-krat,"

159.800 €
",Skupna cena,Prodam,"Podravska, Maribor, Košaki",V večstanovanjski stavbi,1.,3,3-sobno,"131,50 m²",,2021,,,,B1 (15 - 25 kWh/m2a),B.5,Balkon,,
9,3576924,29.03.2021dne10:08,"
doprodaje",2903-krat,"

179.900 €
",Skupna cena,Prodam,"Podravska, Maribor, Košaki",V večstanovanjski stavbi,3.,3,3-sobno,"98,60 m²",,2021,,,,B1 (15 - 25 kWh/m2a),B.17,Terasa,,
10,3561472,29.03.2021dne10:08,"
doprodaje",1295-krat,"

159.800 €
",Skupna cena,Prodam,"Podravska, Maribor, Košaki",V večstanovanjski stavbi,1.,3,"2,5-sobno","141,10 m²","55,20 m²",2021,Neopremljeno,1,,B1 (15 - 25 kWh/m2a),B.4,Terasa,,
