,Šifra oglasa,Objavljen ,Do poteka še,Število prikazov oglasa,Cena,Vrsta cene,Posredovanje,Lokacija,Umeščenost stanovanja,Nadstropje,Skupno število nadstropij v stavbi,Vrsta stanovanja,Bivalna površina,Neto površina,Leto izgradnje*,Leto zadnje prenove,Opremljenost in stanje,Energetski razred,Možnost menjave,Število parkirnih mest,Balkon / terasa / atrij,Zunanje površine in oprema,Interna številka oglasa
0,6523968,14.03.2021dne18:49,"
29dni,22h,33min.
",57-krat,"

192.000 €
",Skupna cena,Prodam,"Savinjska, Celje, Slavko Šlander",V večstanovanjski stavbi,1.,2,3-sobno,"86,00 m²","105,00 m²",2004,,,,,,,,
1,6523894,14.03.2021dne18:39,"
29dni,22h,24min.
",29-krat,"

134.500 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Center, Center",V večstanovanjski stavbi,Pritličje,4,Garsonjera,"28,60 m²","29,30 m²",1908,2020,Popolnoma opremljeno,EI ni potrebna (334. člen EZ-1),Možna menjava za drugo nepremičnino,,,,
2,6523589,14.03.2021dne18:07,"
29dni,21h,52min.
",33-krat,"

29.500 €
",Skupna cena,Prodam,"Gorenjska, Tržič, Tržič",V večstanovanjski stavbi,1.,5,Garsonjera,"11,00 m²","11,00 m²",1961,,,E (105 - 150 kWh/m2a),,,,,
3,6523431,14.03.2021dne17:47,"
29dni,21h,32min.
",34-krat,"

120.000 €
",Skupna cena,Prodam,"Savinjska, Slovenske Konjice, Slovenske Konjice",V večstanovanjski stavbi,1.,5,2-sobno,,"70,00 m²",2020,,Neopremljeno,A2 (10 - 15 kWh/m2a),,7+,"Balkon, Loža",,
4,6523190,14.03.2021dne17:16,"
29dni,21h,0min.
",23-krat,"

180.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Bežigrad, Bežigrad",V večstanovanjski stavbi,7.,7,"1,5-sobno","53,50 m²",,1988,,,,,,Zaprt balkon,,
5,4980667,14.03.2021dne15:59,"
29dni,19h,44min.
",1754-krat,"

69.900 €
",Skupna cena,Prodam,"Podravska, Kidričevo, Kidričevo",V večstanovanjski stavbi,1.,4,2-sobno,"59,00 m²",,,2013,Popolnoma opremljeno,,,2,Balkon,,
6,6522471,14.03.2021dne15:55,"
29dni,19h,39min.
",37-krat,"

75.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Domžale, Domžale",V večstanovanjski stavbi,Pritličje,5,Garsonjera,"27,00 m²","30,00 m²",1980,,,,,,,,
7,6522357,14.03.2021dne15:38,"
29dni,19h,22min.
",66-krat,"

50.000 €
",Skupna cena,Prodam,"Koroška, Podvelka, Podvelka",,,,"1,5-sobno","52,00 m²",,1980,2019,Popolnoma opremljeno,A1 (0 - 10 kWh/m2a),,2,Balkon,"Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",
8,6522107,14.03.2021dne14:59,"
29dni,18h,43min.
",64-krat,"
podogovoru",Skupna cena,Prodam,"Osrednjeslovenska, Vrhnika, Vrhnika",V večstanovanjski stavbi,2.,3,3-sobno,"60,20 m²","85,30 m²",1952,2010,Delno opremljeno,EI v izdelavi,Možna menjava za drugo nepremičnino,,"Balkon, Loža",,
9,1459215,14.03.2021dne13:51,"
29dni,17h,35min.
",9507-krat,"

165.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Bežigrad, Stožice",V večstanovanjski stavbi,1.,4,2-sobno,"38,00 m²","40,00 m²",1976,2018,Popolnoma opremljeno,,Menjava za drugo nepremičnino ni možna,1,Balkon,,
10,6521099,14.03.2021dne12:51,"
29dni,16h,35min.
",479-krat,"

130.000 €
",Skupna cena,Prodam,"Savinjska, Velenje, Velenje",,3.,10,3-sobno,,,1973,,,D (60 - 105 kWh/m2a),,,Balkon,,
11,6520120,14.03.2021dne11:13,"
29dni,14h,57min.
",153-krat,"

116.900 €
",Skupna cena,Prodam,"Podravska, Maribor, Nova Vas",V večstanovanjski stavbi,7.,8,3-sobno,"78,00 m²",,1979,,Popolnoma opremljeno,,Menjava za drugo nepremičnino ni možna,1,Zaprt balkon,Vrt/dvorišče,
12,6520057,14.03.2021dne11:07,"
29dni,14h,51min.
",96-krat,"

69.000 €
",Skupna cena,Prodam,"Podravska, Dornava, Dornava",V večstanovanjski stavbi,2.,,2-sobno,,"53,00 m²",2009,2016,,,,1,,,
13,6520021,14.03.2021dne11:03,"
29dni,14h,47min.
",54-krat,"

40.800 €
",Skupna cena,Prodam,"Podravska, Ptuj, Ptuj",V večstanovanjski stavbi,1.,3,Garsonjera,"24,00 m²",,1980,2010,Delno opremljeno,,,,,,
14,6519881,14.03.2021dne10:51,"
29dni,14h,36min.
",49-krat,"

0 €
",Skupna cena,Prodam,"Pomurska, Murska Sobota, Murska Sobota",,4.,,Garsonjera,"14,00 m²",,1970,,,,,,,,
15,6519704,14.03.2021dne10:35,"
29dni,14h,19min.
",117-krat,"

55.000 €
",Skupna cena,Prodam,"Podravska, Starše, Prepolje",V hiši,Pritličje,,2-sobno,"80,00 m²","80,00 m²",1960,2010,,,,,,Vrt/dvorišče,
16,5569668,14.03.2021dne09:22,"
29dni,13h,6min.
",604-krat,"

48.000 €
",Skupna cena,Prodam,"Jugovzhodna Slovenija, Kočevje, Kočevje",V večstanovanjski stavbi,2.,2,2-sobno,"43,00 m²","43,00 m²",1963,2010,Delno opremljeno,EI v izdelavi,Možna menjava za drugo nepremičnino,1,,Vrt/dvorišče,
17,3174984,14.03.2021dne08:50,"
29dni,12h,34min.
",2045-krat,"

99.900 €
",Skupna cena,Prodam,"Podravska, Maribor, Center",V večstanovanjski stavbi,Mansarda,5,,"200,00 m²",,1945,2018,,,,,,,
18,1448717,14.03.2021dne08:23,"
29dni,12h,7min.
",1295-krat,"

159.900 €
",Skupna cena,Prodam,"Podravska, Maribor, Magdalena",V večstanovanjski stavbi,Mansarda,3,3-sobno,"100,00 m²",,1950,2013,,EI v izdelavi,,,,,
