,AdID,Title,Type,YearBuilt,Link,Seller,Size,SalePrice,lastUpdate
0,6141186,BENEDIKT,Stanovanje,2010,/oglasi-prodaja/benedikt-stanovanje_6141186/,"DUTB, d.d.",52.7,62900.0,2021-03-08 16:15:58.652828
1,6390803,"BEŽIGRAJSKI DVOR, PLAVA LAGUNA",Stanovanje,1974,/oglasi-prodaja/bezigrajski-dvor-plava-laguna-stanovanje_6390803/,"QUDOS, center nepremičnin d.o.o.",119.0,323000.0,2021-03-08 16:15:58.660773
2,6327267,BLED,Stanovanje,1984,/oglasi-prodaja/bled-stanovanje_6327267/,Adut nepremičnine d.o.o.,96.1,150000.0,2021-03-08 16:15:58.666756
3,6389036,BS 3,Stanovanje,1981,/oglasi-prodaja/bs-3-stanovanje_6389036/,Studio 68 d.o.o.,73.0,210000.0,2021-03-08 16:15:58.673737
4,6391861,"BTC, BALKON - DVIGALO - NOVA FASADA",Stanovanje,1978,/oglasi-prodaja/btc-balkon-dvigalo-nova-fasada-stanovanje_6391861/,VIN inženiring d.o.o.,61.2,243700.0,2021-03-08 16:15:58.678724
5,6391220,CELJE,Stanovanje,1954,/oglasi-prodaja/celje-stanovanje_6391220/,"Agenti Celje, AŽ&MB Nerad d.o.o.",85.0,150000.0,2021-03-08 16:15:58.683710
6,6383557,CELJE,Stanovanje,2021,/oglasi-prodaja/celje-stanovanje_6383557/,Borza nepremičnin d.o.o.,85.1,180320.0,2021-03-08 16:15:58.690692
7,6347977,"CELJE, CENTER - GLAZIJA",Stanovanje,2019,/oglasi-prodaja/celje-center-glazija-stanovanje_6347977/,"ANSITRA, nepremičnine d.o.o.",115.2,252337.5,2021-03-08 16:15:58.696675
8,6375238,"CELJE, CENTER - GLAZIJA",Stanovanje,2019,/oglasi-prodaja/celje-center-glazija-stanovanje_6375238/,"ANSITRA, nepremičnine d.o.o.",129.7,273355.0,2021-03-08 16:15:58.701662
9,6361444,"CELJE, HUDINJA",Stanovanje,2020,/oglasi-prodaja/celje-hudinja-stanovanje_6361444/,SGP Graditelj d.d.,56.4,137500.0,2021-03-08 16:15:58.715625
10,6357311,"CELJE, VRUNČEVA 1",Stanovanje,1955,/oglasi-prodaja/celje-vrunceva-1-stanovanje_6357311/,"Nepremičninska družba, d.o.o., PE RE/MAX Premium",98.1,138800.0,2021-03-08 16:15:58.730584
11,6390447,ČIŽIĆI,Stanovanje,2015,/oglasi-prodaja/cizici-stanovanje_6390447/,Marvel Real Estate d.o.o.,58.0,132000.0,2021-03-08 16:15:58.738563
12,6391755,ČRNUČE,Stanovanje,2004,/oglasi-prodaja/crnuce-stanovanje_6391755/,Mreža nepremičnin d.o.o.,114.0,332000.0,2021-03-08 16:15:58.743548
13,6348081,"DOBRINJ, ČIŽIĆI",Stanovanje,2008,/oglasi-prodaja/dobrinj-cizici-stanovanje_6348081/,Premium SM d.o.o.,64.0,112000.0,2021-03-08 16:15:58.747538
14,6384315,DRAVLJE,Stanovanje,2015,/oglasi-prodaja/dravlje-stanovanje_6384315/,Harmonija nepremičnine d.o.o.,75.72,322000.0,2021-03-08 16:15:58.751527
15,6389414,FAŽANA,Stanovanje,2021,/oglasi-prodaja/fazana-stanovanje_6389414/,Istra-immobilien obrt za poslovanje nekretninama,78.0,160000.0,2021-03-08 16:15:58.756514
16,6390863,IZOLA,Stanovanje,2009,/oglasi-prodaja/izola-stanovanje_6390863/,Zasebna ponudba,154.8,600000.0,2021-03-08 16:15:58.761535
17,6379496,"IZOLA, ZRAVEN AVTOKAMPA, 100M OD MORJA",Stanovanje,1985,/oglasi-prodaja/izola-zraven-avtokampa-100m-od-morja-stanovanje_6379496/,"OrNePo, Jana Rožaj s.p.",135.0,320000.0,2021-03-08 16:15:58.765523
18,6375065,"KODELJEVO, POVŠETOVA",Stanovanje,2005,/oglasi-prodaja/kodeljevo-povsetova-stanovanje_6375065/,Posredovanje z nepremičninami in turizem Nigora Jakša s.p.,43.8,170000.0,2021-03-08 16:15:58.769514
19,6385142,KOPER,Stanovanje,2020,/oglasi-prodaja/koper-stanovanje_6385142/,Grafist d.o.o.,145.31,600760.94,2021-03-08 16:15:58.774498
20,6385150,KOPER,Stanovanje,2020,/oglasi-prodaja/koper-stanovanje_6385150/,Grafist d.o.o.,158.92,731527.25,2021-03-08 16:15:58.779481
21,6377436,"KOPER, NOKTURNO",Stanovanje,2010,/oglasi-prodaja/koper-nokturno-stanovanje_6377436/,Prenova Marko Bele s.p. Novo mesto,112.0,305000.0,2021-03-08 16:15:58.788465
22,6378907,"KOPER, PRADE",Stanovanje,2001,/oglasi-prodaja/koper-prade-stanovanje_6378907/,Obala nepremičnine d.o.o.,149.63,298000.0,2021-03-08 16:15:58.792455
23,6341968,"KOPER, VOJKOVO NABREŽJE",Stanovanje,1960,/oglasi-prodaja/koper-vojkovo-nabrezje-stanovanje_6341968/,Obala nepremičnine d.o.o.,62.5,169000.0,2021-03-08 16:15:58.797442
