,AdID,Type,Link,TimeScraped
0,6390803,Stanovanje,/oglasi-prodaja/bezigrajski-dvor-plava-laguna-stanovanje_6390803/,2021-03-08 18:37:20.901107
1,6389036,Stanovanje,/oglasi-prodaja/bs-3-stanovanje_6389036/,2021-03-08 18:37:20.917064
2,6391861,Stanovanje,/oglasi-prodaja/btc-balkon-dvigalo-nova-fasada-stanovanje_6391861/,2021-03-08 18:37:20.921054
3,6391755,Stanovanje,/oglasi-prodaja/crnuce-stanovanje_6391755/,2021-03-08 18:37:20.925043
4,6384315,Stanovanje,/oglasi-prodaja/dravlje-stanovanje_6384315/,2021-03-08 18:37:20.929034
5,6375065,Stanovanje,/oglasi-prodaja/kodeljevo-povsetova-stanovanje_6375065/,2021-03-08 18:37:20.934020
6,6369398,Stanovanje,/oglasi-prodaja/lj-bezigrad-stanovanje_6369398/,2021-03-08 18:37:20.937010
7,6368284,Stanovanje,/oglasi-prodaja/lj-bezigrad-stanovanje_6368284/,2021-03-08 18:37:20.941001
8,6359990,Stanovanje,/oglasi-prodaja/lj-bezigrad-stanovanje_6359990/,2021-03-08 18:37:20.943993
9,6391691,Stanovanje,/oglasi-prodaja/lj-bezigrad-balkon-stanovanje_6391691/,2021-03-08 18:37:20.948979
10,6340798,Stanovanje,/oglasi-prodaja/lj-center-stanovanje_6340798/,2021-03-08 18:37:20.952968
11,6392437,Stanovanje,/oglasi-prodaja/lj-center-stanovanje_6392437/,2021-03-08 18:37:20.954965
12,6383498,Stanovanje,/oglasi-prodaja/lj-center-stanovanje_6383498/,2021-03-08 18:37:20.957957
13,6390791,Stanovanje,/oglasi-prodaja/lj-center-stanovanje_6390791/,2021-03-08 18:37:20.961943
14,6390793,Stanovanje,/oglasi-prodaja/lj-center-stanovanje_6390793/,2021-03-08 18:37:20.965933
15,6317435,Stanovanje,/oglasi-prodaja/lj-center-stanovanje_6317435/,2021-03-08 18:37:20.974909
16,6345265,Stanovanje,/oglasi-prodaja/lj-center-blizina-dramekongresnega-trga-stanovanje_6345265/,2021-03-08 18:37:20.980894
17,6319089,Stanovanje,/oglasi-prodaja/lj-center-devana-park-stanovanje_6319089/,2021-03-08 18:37:20.984884
18,6343237,Stanovanje,/oglasi-prodaja/lj-center-devana-park-stanovanje_6343237/,2021-03-08 18:37:20.989869
19,6392256,Stanovanje,/oglasi-prodaja/lj-center-mesarska-stanovanje_6392256/,2021-03-08 18:37:20.991863
20,6390794,Stanovanje,/oglasi-prodaja/lj-center-rezidenca-masarykova-stanovanje_6390794/,2021-03-08 18:37:20.994855
21,6390792,Stanovanje,/oglasi-prodaja/lj-center-rezidenca-masarykova-stanovanje_6390792/,2021-03-08 18:37:20.998848
22,6271336,Stanovanje,/oglasi-prodaja/lj-center-stilsko-staromescansko-stanovanje-stanovanje_6271336/,2021-03-08 18:37:21.001839
23,6389314,Stanovanje,/oglasi-prodaja/lj-center-strogi-pes-cona-stanovanje_6389314/,2021-03-08 18:37:21.005826
24,6374232,Stanovanje,/oglasi-prodaja/lj-center-stefanova-ul-dukicevi-bloki-stanovanje_6374232/,2021-03-08 18:37:21.008818
25,6390950,Stanovanje,/oglasi-prodaja/lj-center-trg-ofmiklosiceva-stanovanje_6390950/,2021-03-08 18:37:21.011811
26,6370919,Stanovanje,/oglasi-prodaja/lj-moste-stanovanje_6370919/,2021-03-08 18:37:21.015800
27,6391289,Stanovanje,/oglasi-prodaja/lj-moste-nove-jarse-stanovanje_6391289/,2021-03-08 18:37:21.023778
28,6291277,Stanovanje,/oglasi-prodaja/lj-moste-zelena-jama-pokopaliska-ulica-stanovanje_6291277/,2021-03-08 18:37:21.027768
29,6389622,Stanovanje,/oglasi-prodaja/lj-siska-stanovanje_6389622/,2021-03-08 18:37:21.030761
