,AdID,Title,Type,YearBuilt,Link,Seller,Size,SalePrice,lastUpdate
0,6277098,"BREZOVICA PRI LJUBLJANI, NOTRANJE GORICE",Hiša,2019,/oglasi-prodaja/brezovica-pri-ljubljani-notranje-gorice-hisa_6277098/,"Aeon nepremičnine, d.o.o.",230.0,199000.0,2021-03-08 14:10:19.302988
1,5873519,"BREZOVICA PRI LJUBLJANI, NOTRANJE GORICE",Posest,,/oglasi-prodaja/brezovica-pri-ljubljani-notranje-gorice-posest_5873519/,MKA nepremičnine d.o.o.,1259.0,150.0,2021-03-08 14:10:19.307975
2,6322030,"BREZOVICA PRI LJUBLJANI, PODPEČ",Hiša,1950,/oglasi-prodaja/brezovica-pri-ljubljani-podpec-hisa_6322030/,KREATIVDOM d.o.o.,135.0,330000.0,2021-03-08 14:10:19.312961
3,6389444,"BREZOVICA PRI LJUBLJANI, RAKITNA",Vikend,1967,/oglasi-prodaja/brezovica-pri-ljubljani-rakitna-vikend_6389444/,Zasebna ponudba,65.0,149000.0,2021-03-08 14:10:19.321938
4,6199492,"BREZOVICA PRI LJUBLJANI, RAKITNA",Posest,,/oglasi-prodaja/brezovica-pri-ljubljani-rakitna-posest_6199492/,Rojal invest d.o.o.,856.0,119.0,2021-03-08 14:10:19.332909
5,6199491,"BREZOVICA PRI LJUBLJANI, RAKITNA",Posest,,/oglasi-prodaja/brezovica-pri-ljubljani-rakitna-posest_6199491/,Rojal invest d.o.o.,1301.0,100.0,2021-03-08 14:10:19.341883
6,6177635,BREZOVICA PRI METLIKI,Vikend,1974,/oglasi-prodaja/brezovica-pri-metliki-vikend_6177635/,Zasebna ponudba,47.0,39700.0,2021-03-08 14:10:19.349864
7,6387497,BREZOVICA PRI MIRNI,Hiša,1976,/oglasi-prodaja/brezovica-pri-mirni-hisa_6387497/,NNRN nepremičnine d.o.o. Novo mesto,292.0,170000.0,2021-03-08 14:10:19.356843
8,6319327,BREZOVICA PRI PREDGRADU,Hiša,1963,/oglasi-prodaja/brezovica-pri-predgradu-hisa_6319327/,"PBO nepremičnine, Most inženiring d.o.o.",97.0,75000.0,2021-03-08 14:10:19.361831
9,5345631,"BREZOVICA, KOZINA OKOLICA",Posest,,/oglasi-prodaja/brezovica-kozina-okolica-posest_5345631/,"Ruj Nepremičnine, Jernej Suša, s.p.",5350.0,22.0,2021-03-08 14:10:19.369809
10,6273807,BREZOVSKA GORA,Vikend,1997,/oglasi-prodaja/brezovska-gora-vikend_6273807/,Nepremičnine-Sanja Radivojević s.p.,88.0,66000.0,2021-03-08 14:10:19.374796
11,6276730,BREZOVSKA GORA,Poslovni prostor,2007,/oglasi-prodaja/brezovska-gora-poslovni-prostor_6276730/,Posredovanje z nepremičninami in turizem Nigora Jakša s.p.,1130.0,650000.0,2021-03-08 14:10:19.379783
12,6060465,BREZULA,Hiša,1984,/oglasi-prodaja/brezula-hisa_6060465/,"Idila nepremičnine, Damijan Kokol s.p.",244.0,350000.0,2021-03-08 14:10:19.385767
13,6310549,BREŽICE,Poslovni prostor,2003,/oglasi-prodaja/brezice-poslovni-prostor_6310549/,"DUTB, d.d.",29.9,6450.0,2021-03-08 14:10:19.391751
14,6389977,BREŽICE,Stanovanje,2013,/oglasi-prodaja/brezice-stanovanje_6389977/,NNRN nepremičnine d.o.o. Novo mesto,58.1,110000.0,2021-03-08 14:10:19.396737
15,6391914,BREŽICE,Stanovanje,1991,/oglasi-prodaja/brezice-stanovanje_6391914/,Zasebna ponudba,61.45,87000.0,2021-03-08 14:10:19.404717
16,6373650,BREŽICE,Hiša,1980,/oglasi-prodaja/brezice-hisa_6373650/,Zasebna ponudba,65.0,92000.0,2021-03-08 14:10:19.410699
17,6382763,BREŽICE,Stanovanje,2017,/oglasi-prodaja/brezice-stanovanje_6382763/,Zasebna ponudba,72.0,124900.0,2021-03-08 14:10:19.417683
18,6381442,BREŽICE,Stanovanje,2017,/oglasi-prodaja/brezice-stanovanje_6381442/,Nepremičnine-Sanja Radivojević s.p.,89.9,92000.0,2021-03-08 14:10:19.425660
19,6373652,BREŽICE,Stanovanje,1939,/oglasi-prodaja/brezice-stanovanje_6373652/,Nepremičnine-Sanja Radivojević s.p.,115.65,65000.0,2021-03-08 14:10:19.432644
20,6384134,BREŽICE,Hiša,1973,/oglasi-prodaja/brezice-hisa_6384134/,"Nepremičnine M8, Lea Kavalič s.p.",187.0,99000.0,2021-03-08 14:10:19.438626
21,6322126,BREŽICE,Hiša,1980,/oglasi-prodaja/brezice-hisa_6322126/,Posredovanje z nepremičninami in turizem Nigora Jakša s.p.,239.3,360000.0,2021-03-08 14:10:19.442615
22,6391881,BREŽICE,Hiša,1950,/oglasi-prodaja/brezice-hisa_6391881/,Zasebna ponudba,281.5,95000.0,2021-03-08 14:10:19.449596
23,6276180,BREŽICE,Poslovni prostor,1997,/oglasi-prodaja/brezice-poslovni-prostor_6276180/,"Aeon nepremičnine, d.o.o.",530.0,590000.0,2021-03-08 14:10:19.463559
24,6368862,BREŽICE,Poslovni prostor,1996,/oglasi-prodaja/brezice-poslovni-prostor_6368862/,Nepremičnine Plus d.o.o.,712.0,399000.0,2021-03-08 14:10:19.475527
25,6232625,BREŽICE,Poslovni prostor,2003,/oglasi-prodaja/brezice-poslovni-prostor_6232625/,"DUTB, d.d.",740.0,145000.0,2021-03-08 14:10:19.481511
26,6314932,BREŽICE,Poslovni prostor,1980,/oglasi-prodaja/brezice-poslovni-prostor_6314932/,Nepremičnine-Sanja Radivojević s.p.,760.8,410000.0,2021-03-08 14:10:19.487495
27,6328500,BREŽICE,Posest,,/oglasi-prodaja/brezice-posest_6328500/,"FLEKS nepremičnine, Gregor Jarkovič s.p.",980.0,50000.0,2021-03-08 14:10:19.491484
